Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,2,Graduate,No,6236,292,88,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,5958,1782,180,360,1.0,Semiurban,Y
Male,No,2,Graduate,Yes,3976,514,205,360,0.0,Urban,N
Male,Yes,1,Graduate,No,7514,1109,185,360,0.0,Semiurban,N
Male,Yes,2,Not Graduate,No,2181,0,266,120,1.0,Urban,N
Male,No,0,Not Graduate,No,7819,1169,123,180,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,5386,1209,197,240,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,4158,2310,144,360,1.0,Urban,Y
Female,Yes,1,Graduate,Yes,4950,1834,211,240,1.0,Urban,Y
Male,Yes,2,Graduate,No,4731,0,149,180,0.0,Semiurban,N
Male,Yes,3+,Graduate,Yes,8050,3126,130,180,1.0,Urban,Y
Male,Yes,3+,Graduate,Yes,2308,1815,215,360,0.0,Urban,N
Male,No,3+,Graduate,No,3093,1797,125,360,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,7590,1486,79,120,1.0,Rural,Y
Female,No,0,Graduate,No,3511,723,124,360,1.0,Rural,Y
Female,Yes,1,Not Graduate,No,7251,1826,180,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,9248,2213,219,240,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,3995,0,155,360,1.0,Rural,Y
Female,No,2,Graduate,Yes,6703,691,215,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,Yes,2115,1117,82,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,6886,1884,127,240,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,5498,3289,135,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,6182,342,144,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,Yes,3386,753,154,360,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,847,731,184,360,1.0,Urban,N
Female,No,0,Not Graduate,No,6258,297,127,360,1.0,Rural,Y
Female,Yes,0,Not Graduate,No,-158,979,156,240,0.0,Urban,N
Male,Yes,0,Not Graduate,Yes,4206,2656,147,240,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,7352,0,103,360,1.0,Semiurban,Y
Female,No,2,Graduate,Yes,5479,2141,144,360,1.0,Urban,Y
Male,Yes,0,Graduate,Yes,9870,0,142,360,0.0,Semiurban,N
Female,Yes,0,Graduate,No,7562,657,141,360,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,3365,1005,151,360,1.0,Rural,Y
Female,No,0,Graduate,No,5068,4012,153,240,1.0,Semiurban,Y
Male,No,2,Graduate,No,4881,1087,128,180,1.0,Rural,Y
Female,Yes,2,Not Graduate,No,1044,0,213,360,1.0,Rural,N
Male,No,0,Not Graduate,No,2649,0,91,360,1.0,Urban,Y
Male,No,0,Not Graduate,Yes,3598,1551,113,360,1.0,Rural,Y
Female,Yes,3+,Graduate,No,-90,2420,288,360,0.0,Semiurban,N
Male,No,1,Graduate,No,5118,2063,98,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,4377,1751,82,180,1.0,Rural,Y
Female,Yes,0,Graduate,Yes,817,3243,186,240,1.0,Rural,N
Female,Yes,1,Graduate,No,6010,690,50,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6789,2842,138,180,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,5567,0,257,360,1.0,Urban,N
Male,No,3+,Graduate,No,4189,142,72,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,6478,0,50,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,6700,1087,75,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5768,1430,194,240,0.0,Urban,N
Female,No,0,Graduate,No,2938,1671,206,360,1.0,Semiurban,N
Female,Yes,0,Not Graduate,Yes,5691,1592,124,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,7988,108,184,360,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,3508,1214,219,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,10244,0,239,360,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,3685,3544,137,360,0.0,Rural,N
Male,No,3+,Graduate,No,5081,1044,50,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,3318,766,108,360,1.0,Urban,Y
Female,No,3+,Graduate,Yes,5558,3883,128,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,644,0,137,360,1.0,Urban,Y
Male,No,3+,Graduate,No,3634,0,140,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,2269,0,205,360,1.0,Urban,N
Female,Yes,3+,Not Graduate,No,5338,1398,213,240,0.0,Semiurban,N
Male,Yes,3+,Not Graduate,No,7486,2147,141,360,1.0,Rural,Y
Male,No,0,Graduate,No,6615,2609,204,360,1.0,Rural,Y
Male,Yes,3+,Graduate,Yes,-929,5357,167,360,0.0,Rural,N
Female,Yes,0,Graduate,No,10105,0,153,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5738,2413,195,360,1.0,Rural,Y
Female,No,0,Graduate,No,3058,664,153,360,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,No,5392,620,252,360,1.0,Semiurban,N
Male,No,0,Not Graduate,No,5440,570,78,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,3332,136,124,360,0.0,Rural,N
Female,Yes,1,Graduate,No,5494,4026,143,360,1.0,Semiurban,Y
Male,No,2,Graduate,No,3481,2763,171,360,1.0,Urban,Y
Male,Yes,3+,Not Graduate,No,3989,1534,213,360,1.0,Rural,Y
Female,No,1,Not Graduate,No,3284,3526,148,360,0.0,Semiurban,N
Female,Yes,0,Graduate,No,1418,0,78,360,1.0,Urban,Y
Female,No,0,Not Graduate,No,5364,0,192,360,1.0,Urban,Y
Female,No,0,Graduate,No,6463,0,187,360,1.0,Rural,Y
Male,No,0,Graduate,No,6287,450,52,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,7049,1742,149,360,0.0,Rural,N
Female,Yes,0,Graduate,No,5810,1654,70,180,0.0,Semiurban,N
Male,Yes,3+,Graduate,No,3668,1724,116,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,7099,0,104,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,1606,2704,190,360,1.0,Urban,N
Male,Yes,1,Not Graduate,No,2748,1859,155,360,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,2589,2599,85,360,1.0,Urban,Y
Male,No,1,Graduate,No,7700,0,194,360,1.0,Urban,Y
Male,No,2,Graduate,Yes,7356,1967,78,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,6218,0,166,360,0.0,Rural,N
Male,No,1,Graduate,No,7679,904,109,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,2801,2301,131,360,0.0,Urban,N
Male,No,3+,Graduate,No,5871,1636,175,360,1.0,Rural,Y
Female,Yes,2,Graduate,No,4687,222,176,360,1.0,Urban,Y
Male,No,1,Graduate,Yes,7117,1509,216,360,0.0,Semiurban,N
Female,No,2,Graduate,No,4711,0,145,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4037,3225,165,360,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,6352,1192,128,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,7190,3177,159,240,1.0,Urban,Y
Male,No,1,Not Graduate,No,3329,710,171,360,0.0,Semiurban,N
Female,No,1,Graduate,No,4847,714,145,360,0.0,Urban,N
Male,Yes,0,Graduate,No,2353,353,59,180,1.0,Semiurban,Y
Female,No,3+,Not Graduate,No,-1245,2814,166,360,1.0,Urban,Y
Male,No,3+,Graduate,No,5501,435,168,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,6522,2466,115,180,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,5655,926,85,360,1.0,Rural,Y
Female,No,3+,Not Graduate,No,126,0,223,360,1.0,Semiurban,N
Male,No,0,Not Graduate,No,4122,644,174,360,1.0,Rural,Y
Male,No,2,Graduate,No,-545,0,138,360,1.0,Rural,Y
Female,No,0,Graduate,No,8424,1550,93,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,2284,0,108,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,8138,2888,215,240,1.0,Urban,Y
Male,Yes,3+,Graduate,No,7364,1363,156,240,0.0,Urban,N
Male,Yes,3+,Graduate,No,2748,1233,122,180,0.0,Rural,N
Male,Yes,0,Not Graduate,No,2168,2483,175,180,1.0,Urban,Y
Male,Yes,1,Graduate,No,5875,2945,109,240,1.0,Semiurban,Y
Female,Yes,3+,Graduate,No,2889,1469,225,360,0.0,Urban,N
Male,Yes,1,Graduate,Yes,5256,343,217,360,0.0,Rural,N
Male,No,3+,Graduate,No,3792,0,126,360,0.0,Urban,N
Female,Yes,1,Graduate,No,547,470,118,180,1.0,Rural,Y
Female,Yes,0,Graduate,No,-576,574,50,360,0.0,Urban,N
Male,Yes,0,Graduate,No,5566,1660,75,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,3596,982,83,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,3617,2531,156,360,0.0,Semiurban,N
Male,Yes,0,Not Graduate,No,6739,580,133,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,7933,1414,82,360,0.0,Semiurban,N
Male,No,1,Graduate,No,4318,3275,135,360,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,4148,2012,175,360,0.0,Urban,N
Male,Yes,3+,Not Graduate,Yes,6250,1409,176,360,1.0,Rural,Y
Female,Yes,3+,Graduate,No,1607,597,55,360,0.0,Rural,N
Female,No,1,Graduate,No,5557,550,143,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,6379,224,80,360,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,6700,688,195,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,158,2633,189,180,1.0,Semiurban,N
Female,Yes,3+,Graduate,Yes,3096,1167,105,360,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,2804,0,111,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,5249,4152,126,360,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,No,6201,1979,50,360,1.0,Semiurban,Y
Female,Yes,1,Graduate,Yes,8741,0,166,180,1.0,Rural,Y
Female,Yes,3+,Not Graduate,No,3762,837,136,360,0.0,Urban,N
Female,No,3+,Graduate,No,3756,1666,198,360,1.0,Urban,Y
Male,No,0,Graduate,No,7874,4056,95,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,5741,0,119,240,1.0,Rural,Y
Female,No,1,Not Graduate,Yes,8169,2964,74,360,1.0,Rural,Y
Female,Yes,1,Not Graduate,No,5721,3599,99,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,2107,557,90,360,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,1667,1083,199,180,0.0,Urban,N
Male,Yes,0,Graduate,No,1121,0,115,360,1.0,Semiurban,Y
Female,No,1,Graduate,No,6655,1194,156,360,1.0,Urban,Y
Female,Yes,2,Graduate,No,7971,1445,130,360,1.0,Semiurban,Y
Male,No,2,Graduate,Yes,9623,2489,86,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,7107,3135,141,360,1.0,Urban,Y
Male,No,0,Graduate,No,7907,377,179,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,3549,0,89,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,2108,1468,190,120,1.0,Urban,N
Female,Yes,3+,Graduate,No,7125,1940,107,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6044,1874,125,360,0.0,Rural,N
Male,Yes,0,Not Graduate,No,5268,1009,176,360,1.0,Rural,Y
Male,Yes,3+,Not Graduate,No,5968,1687,116,360,1.0,Urban,Y
Male,No,0,Not Graduate,No,5807,3773,151,180,1.0,Rural,Y
Female,Yes,3+,Graduate,No,8209,2072,134,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,8237,939,156,360,0.0,Rural,N
Female,Yes,3+,Not Graduate,No,6360,749,50,120,1.0,Semiurban,Y
Female,No,0,Graduate,No,7114,1245,58,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6285,3955,180,180,0.0,Urban,N
Female,Yes,2,Graduate,No,3847,1225,201,360,1.0,Urban,Y
Female,Yes,3+,Graduate,No,6891,1470,104,180,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,1513,776,137,360,1.0,Rural,Y
Male,No,0,Graduate,No,7634,3148,164,360,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,2013,4439,184,180,1.0,Urban,N
Male,Yes,2,Graduate,Yes,5714,2175,50,360,0.0,Rural,N
Female,No,2,Graduate,No,2887,1624,105,360,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,6383,1555,133,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,4915,0,185,180,1.0,Urban,Y
Male,Yes,2,Graduate,No,1013,2617,274,360,1.0,Semiurban,N
Male,No,0,Not Graduate,No,6051,1701,138,180,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,3555,2142,79,360,1.0,Rural,Y
Male,No,0,Graduate,Yes,7202,432,170,360,0.0,Semiurban,N
Male,Yes,1,Graduate,No,5003,923,216,180,0.0,Rural,N
Male,Yes,1,Graduate,No,5988,883,155,360,0.0,Semiurban,N
Female,Yes,0,Graduate,No,2606,3032,104,360,0.0,Rural,N
Male,No,0,Not Graduate,No,3526,931,197,360,1.0,Urban,Y
Female,Yes,0,Graduate,Yes,3853,4623,183,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,7141,2146,98,360,0.0,Rural,N
Male,No,3+,Graduate,No,9193,0,169,180,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,2987,1307,199,360,1.0,Rural,N
Male,Yes,3+,Graduate,No,7692,522,209,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,-424,0,146,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2014,3899,132,360,0.0,Urban,N
Female,No,0,Graduate,No,2603,2554,211,360,1.0,Semiurban,N
Male,No,1,Graduate,No,1618,2299,89,180,1.0,Rural,Y
Female,Yes,2,Graduate,No,1041,1748,171,360,0.0,Semiurban,N
Male,Yes,2,Not Graduate,No,6032,0,81,360,1.0,Rural,Y
Male,No,0,Graduate,No,4464,774,203,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,5948,2762,137,360,1.0,Rural,Y
Male,No,1,Graduate,No,6726,0,213,180,0.0,Urban,N
Male,Yes,0,Graduate,No,5664,0,174,360,1.0,Urban,Y
Male,No,0,Graduate,No,6644,1159,88,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,4826,1287,221,360,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,Yes,2032,1703,227,360,1.0,Semiurban,N
Male,Yes,3+,Not Graduate,No,7644,2592,194,360,0.0,Semiurban,N
Male,Yes,1,Graduate,No,3527,2456,111,360,0.0,Urban,N
Female,Yes,3+,Graduate,No,2661,1888,134,180,1.0,Rural,Y
Male,No,0,Not Graduate,No,4555,3293,157,240,1.0,Urban,Y
Male,No,1,Not Graduate,No,2717,0,114,360,0.0,Semiurban,N
Female,Yes,0,Not Graduate,No,3956,2256,234,360,0.0,Semiurban,N
Female,Yes,2,Graduate,No,5860,2439,157,360,0.0,Rural,N
Male,Yes,3+,Graduate,No,5870,0,50,240,0.0,Urban,N
Female,Yes,2,Graduate,No,2755,0,166,120,1.0,Urban,Y
Male,Yes,0,Graduate,No,3780,381,132,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,7685,507,146,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6241,2630,131,360,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,No,10187,578,190,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,7950,215,205,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,7860,582,164,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,1530,3177,133,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,6909,1519,147,360,1.0,Rural,Y
Male,No,0,Graduate,No,4867,1231,150,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,Yes,3622,1334,109,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,5420,3438,178,360,1.0,Semiurban,Y
Male,No,2,Graduate,No,7363,376,173,360,1.0,Rural,Y
Male,No,3+,Not Graduate,No,6252,3473,227,360,0.0,Semiurban,N
Male,No,3+,Graduate,No,2803,1815,212,360,1.0,Rural,N
Male,Yes,1,Graduate,No,6856,1259,115,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,3406,5251,191,360,1.0,Rural,Y
Female,No,0,Graduate,No,5541,0,102,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,4241,969,184,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,4452,0,124,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,6915,2928,98,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,2399,4033,164,360,1.0,Urban,Y
Male,No,0,Graduate,No,9862,4004,50,360,1.0,Urban,Y
Male,Yes,2,Graduate,No,447,3335,62,360,0.0,Rural,N
Male,Yes,0,Graduate,No,3505,1203,141,360,0.0,Rural,N
Male,Yes,2,Graduate,No,5925,952,154,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6460,0,131,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,4748,4553,71,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,4856,2203,109,360,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,6026,762,169,240,1.0,Semiurban,Y
Male,No,0,Graduate,No,4422,3492,179,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,8482,40,149,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,7098,2109,207,360,1.0,Rural,Y
Male,No,3+,Graduate,No,7182,1241,169,240,1.0,Semiurban,Y
Female,No,0,Graduate,Yes,2584,2458,112,360,0.0,Rural,N
Male,Yes,0,Graduate,No,4801,1404,135,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,Yes,4248,0,79,180,0.0,Semiurban,N
Female,Yes,0,Graduate,No,2485,1613,144,360,1.0,Urban,Y
Female,No,0,Graduate,No,5900,3073,205,180,0.0,Rural,N
Male,No,0,Graduate,No,3655,1456,184,180,1.0,Urban,Y
Male,No,0,Not Graduate,No,6638,2662,220,360,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,No,2324,0,134,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,9297,1460,217,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,2759,563,140,360,0.0,Semiurban,N
Male,Yes,3+,Graduate,No,5548,2620,223,360,1.0,Rural,Y
Male,Yes,1,Graduate,Yes,6979,1547,148,360,1.0,Rural,Y
Male,No,3+,Not Graduate,No,3573,2535,185,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,7131,3131,223,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,1927,2537,140,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,8630,1909,160,360,1.0,Urban,Y
Female,Yes,2,Not Graduate,No,5035,2,214,360,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,3508,1495,143,360,0.0,Urban,N
Male,Yes,0,Graduate,No,4252,700,83,360,0.0,Rural,N
Female,No,2,Not Graduate,Yes,7022,983,257,360,1.0,Rural,N
Female,Yes,2,Graduate,No,3538,938,126,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,3126,30,157,120,1.0,Semiurban,Y
Male,No,0,Graduate,No,4446,0,207,360,1.0,Rural,Y
Male,No,2,Graduate,Yes,2057,497,119,360,1.0,Urban,Y
Male,Yes,2,Graduate,No,9551,1790,99,360,0.0,Semiurban,N
Male,Yes,3+,Not Graduate,No,3584,0,162,360,1.0,Urban,Y
Male,Yes,2,Graduate,No,7079,1523,60,360,0.0,Semiurban,N
Male,No,3+,Graduate,No,5523,4350,135,360,0.0,Urban,N
Male,No,2,Graduate,No,2538,3034,162,360,0.0,Rural,N
Male,Yes,0,Graduate,No,4985,3965,136,180,0.0,Semiurban,N
Male,No,0,Not Graduate,No,6960,2086,72,360,1.0,Urban,Y
Male,Yes,2,Graduate,No,4529,3251,229,360,1.0,Rural,Y
Male,Yes,2,Graduate,Yes,7982,414,155,180,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,7553,533,221,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,7297,0,136,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,3850,3279,105,360,1.0,Urban,Y
Male,No,1,Graduate,No,2300,3810,163,360,1.0,Urban,Y
Female,No,1,Graduate,No,3466,670,139,360,0.0,Semiurban,N
Male,No,1,Not Graduate,No,5490,1119,91,360,0.0,Rural,N
Male,Yes,0,Not Graduate,Yes,6364,369,223,180,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,-428,2073,118,120,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,4979,3187,57,240,1.0,Urban,Y
Female,Yes,0,Graduate,No,5395,0,216,240,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,4306,2114,124,360,1.0,Urban,Y
Male,No,1,Graduate,No,8228,1084,119,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,6054,1670,61,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,8275,2188,237,360,0.0,Urban,N
Male,Yes,0,Graduate,No,4460,1217,85,180,0.0,Semiurban,N
Male,Yes,2,Not Graduate,No,7343,1344,152,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,9087,1179,195,240,1.0,Semiurban,Y
Female,Yes,3+,Graduate,No,8279,2955,171,180,1.0,Urban,Y
Male,No,0,Graduate,No,2269,2128,147,120,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,4365,1830,64,180,1.0,Semiurban,Y
Male,No,2,Graduate,No,4137,0,109,360,1.0,Rural,Y
Male,No,0,Graduate,No,6223,932,159,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,6715,2848,110,360,1.0,Semiurban,Y
Male,No,2,Graduate,No,2902,1556,160,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,5169,2489,184,360,1.0,Rural,Y
Male,No,0,Graduate,No,-49,4149,198,180,1.0,Rural,N
Male,Yes,2,Graduate,No,8604,3057,88,180,1.0,Urban,Y
Female,No,0,Graduate,No,3719,1639,259,360,0.0,Rural,N
Male,No,2,Graduate,No,5139,733,188,360,1.0,Rural,Y
Male,No,0,Graduate,Yes,4225,0,149,360,0.0,Rural,N
Male,No,3+,Graduate,No,7865,1247,204,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,-2093,1010,268,360,1.0,Rural,N
Male,Yes,0,Graduate,Yes,4958,2085,78,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4735,1269,138,360,1.0,Urban,Y
Female,Yes,0,Not Graduate,No,3865,1019,50,360,1.0,Rural,Y
Female,No,1,Graduate,No,9315,0,159,360,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,2781,90,168,360,1.0,Rural,Y
Male,No,3+,Graduate,No,6929,2214,148,360,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,5890,4073,117,360,1.0,Urban,Y
Male,No,0,Graduate,No,8153,1353,50,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,3332,1991,168,120,1.0,Urban,Y
Male,No,0,Graduate,No,3167,2928,222,360,1.0,Semiurban,Y
Male,No,0,Not Graduate,Yes,7740,283,120,360,1.0,Rural,Y
Male,Yes,1,Graduate,Yes,6063,2050,172,360,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,1137,389,71,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,3651,2797,172,240,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,5965,1727,130,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,7094,1947,111,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,3301,326,111,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,-2285,2560,130,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,6308,4627,169,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,1949,0,84,360,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,-43,990,130,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,-2080,1847,147,360,1.0,Rural,Y
Male,No,2,Not Graduate,Yes,7034,2679,95,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,5321,660,239,360,1.0,Rural,Y
Male,No,1,Graduate,No,4435,0,107,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,Yes,8472,3538,116,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6593,2640,101,360,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,9040,0,239,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,1518,588,177,360,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,No,4913,3852,103,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,958,3671,205,360,1.0,Semiurban,N
Female,Yes,0,Graduate,No,4426,2907,160,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,4378,1235,162,240,0.0,Urban,N
Male,No,0,Not Graduate,No,6566,1624,132,360,1.0,Urban,Y
Female,Yes,2,Graduate,No,5113,1303,112,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,6558,3192,166,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,6758,186,122,180,1.0,Urban,Y
Male,Yes,0,Graduate,No,10387,291,240,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,4211,3015,86,120,0.0,Rural,N
Female,No,0,Graduate,No,2647,1433,226,240,1.0,Semiurban,N
Female,Yes,2,Graduate,No,5615,3567,144,360,1.0,Semiurban,Y
Female,No,3+,Graduate,No,2994,492,164,240,1.0,Urban,Y
Male,No,3+,Graduate,No,8704,1417,191,360,0.0,Semiurban,N
Female,Yes,0,Graduate,No,4291,116,118,180,1.0,Urban,Y
Female,Yes,3+,Graduate,No,3586,1511,193,360,1.0,Rural,Y
Male,Yes,2,Not Graduate,Yes,3821,0,50,360,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,6796,768,114,360,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,4605,0,103,360,1.0,Rural,Y
Male,No,0,Graduate,No,3395,2540,87,360,1.0,Rural,Y
Female,Yes,0,Not Graduate,Yes,9163,2574,139,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2859,0,169,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,5088,3500,185,360,1.0,Urban,Y
Male,No,0,Graduate,No,6630,5246,162,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,921,1569,116,360,1.0,Rural,Y
Male,Yes,2,Graduate,Yes,6200,538,168,360,0.0,Rural,N
Female,Yes,1,Not Graduate,Yes,2362,5736,156,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,7056,0,196,360,0.0,Rural,N
Male,Yes,3+,Graduate,No,2593,1530,188,360,0.0,Semiurban,N
Male,Yes,3+,Graduate,No,6731,1769,151,360,1.0,Rural,Y
Female,No,2,Graduate,Yes,7764,3517,105,120,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,7153,2039,117,360,1.0,Urban,Y
Female,Yes,1,Not Graduate,No,5628,752,122,240,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,4421,73,134,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3558,987,163,360,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,8677,0,185,360,1.0,Semiurban,Y
